LinkItemsToUMLSCUIID	ItemPTR	CUI	ItemToUMLSCUILinkTypePTR
6009	1173	C0878549	0
187	1174	C0027543	0
188	1174	C0520474	0
189	1183	C0004482	0
13457	1183	C0887732	0
190	1194	C0043474	0
11620	1194	C0699576	0
11815	1194	C0750469	0
5694	1200	C0004574	0
191	1200	C0004576	0
192	1203	C0003175	0
193	1203	C0004589	0
10188	1203	C0155866	0
194	1209	C0004590	0
195	1212	C0004609	0
196	1218	C0004661	0
5705	1218	C0004669	0
197	1224	C0032650	0
198	1229	C0004690	0
12013	1229	C0004691	0
199	1231	C0004745	0
200	1231	C0161558	0
201	1246	C0004763	0
202	1249	C0004771	0
10248	1249	C0318324	0
10845	1249	C0029307	0
203	1254	C0004775	0
204	1264	C0007117	0
17921	1264	C0862887	0
41040	1264	C4721806	0
205	1267	C0201985	0
206	1268	C0333812	0
209	1272	C0014741	0
3958	1275	C0004886	0
210	1275	C0085957	0
9643	1280	C0917713	0
8187	1282	C0004920	0
8186	1282	C0043040	0
212	1282	C0413120	0
11662	1282	C1290000	0
213	1285	C0004943	0
214	1303	C0376175	0
215	1309	C0004975	0
216	1324	C0270736	0
217	1324	C0393615	0
218	1326	C0342637	0
14610	1326	C1809471	0
219	1329	C0149841	0
42208	1329	C4551899	0
220	1331	C0033845	0
221	1341	C0026470	0
222	1344	C0155502	0
6697	1344	C0585542	0
223	1346	C0005036	0
224	1346	C0497008	0
6340	1349	C0003830	0
225	1349	C0041009	0
226	1351	C0005098	0
8849	1351	C0053156	0
227	1353	C0017661	0
228	1356	C0005129	0
14196	1356	C2713537	0
229	1358	C0005136	0
5429	1366	C0005138	0
230	1366	C0005139	0
42200	1366	C0303131	0
231	1373	C0472767	0
232	1384	C0053526	0
11019	1384	C0106169	0
233	1389	C0005330	0
234	1392	C0149630	0
235	1397	C0235982	0
12982	1397	C0597984	0
236	1400	C0005411	0
237	1403	C0005437	0
6213	1405	C0270786	0
238	1405	C0494613	0
10144	1408	C0268680	0
14846	1408	C2937225	0
240	1414	C0005578	0
11206	1414	C0304411	0
13420	1414	C0053663	0
8462	1416	C0004045	0
241	1416	C0456086	0
17924	1416	C0559477	0
242	1422	C0005642	0
7889	1422	C0053790	0
7890	1422	C0053792	0
8919	1422	C0274920	0
16972	1422	C2917658	0
17321	1422	C3537185	0
244	1427	C0005684	0
10212	1427	C0699885	0
245	1439	C0005716	0
4682	1442	C0019087	0
247	1442	C0398600	0
10636	1442	C1458140	0
248	1450	C0005740	0
12675	1450	C0005739	0
249	1455	C0005741	0
250	1457	C0005794	0
251	1460	C0005841	0
5288	1460	C0274435	0
252	1498	C0178324	0
253	1505	C0005859	0
6034	1513	C0857254	0
254	1514	C0005937	0
8992	1517	C0302313	0
15817	1517	C0221204	0
41049	1517	C4721411	0
256	1518	C0005961	0
257	1522	C0155411	0
258	1523	C0006017	0
259	1523	C0043167	0
260	1523	C0043168	0
261	1529	C0006023	0
262	1531	C0006034	0
263	1531	C0024198	0
264	1547	C0035021	0
5511	1547	C0315000	0
5510	1547	C0315003	0
265	1557	C0206656	0
12035	1557	C1306573	0
34825	1557	C0279612	0
266	1559	C0085209	0
267	1560	C0267463	0
268	1560	C0267470	0
9658	1569	C0006079	0
13015	1569	C2314897	0
270	1572	C0006110	0
17076	1572	C0394019	0
271	1577	C0054015	0
4731	1578	C0576489	0
12433	1578	C0495785	0
273	1588	C0006131	0
274	1589	C0006132	0
275	1591	C0151463	0
276	1595	C0178421	0
14330	1595	C0850656	0
277	1598	C0006142	0
10543	1598	C0678222	0
278	1614	C0156321	0
279	1617	C0006147	0
11479	1617	C0022925	0
12588	1617	C1623040	0
12589	1617	C1623041	0
280	1628	C0020565	0
14388	1628	C2225524	0
281	1630	C0179412	0
14847	1630	C0917968	0
282	1631	C0006157	0
4903	1642	C0006168	0
283	1642	C0054040	0
4502	1645	C0009946	0
5720	1645	C0015674	0
8848	1645	C0016053	0
284	1645	C0033931	0
4501	1645	C0152174	0
285	1645	C0520482	0
8982	1645	C0037650	0
286	1667	C0006222	0
6270	1667	C0006223	0
6271	1667	C0303004	0
10638	1667	C0161561	0
12422	1667	C1533166	0
14332	1667	C1444216	0
287	1669	C0006230	0
288	1681	C0149845	0
289	1684	C0006267	0
290	1701	C0006271	0
291	1704	C0006272	0
13158	1704	C2350988	0
13772	1704	C2350876	0
292	1707	C0006281	0
293	1713	C0006287	0
294	1715	C0006266	0
5821	1715	C0079043	0
10909	1715	C0043144	0
15825	1715	C0035508	0
17473	1715	C3536811	0
34654	1715	C4552901	0
295	1716	C0006309	0
9499	1716	C0006303	0
296	1728	C0221026	0
11594	1728	C0241932	0
297	1733	C0231873	0
298	1734	C0238844	0
10748	1734	C0277858	0
299	1735	C0019154	0
12561	1735	C0856761	0
34655	1735	C4552743	0
300	1762	C0040021	0
8985	1762	C0264989	0
11704	1762	C1260885	0
5214	1770	C0006370	0
11921	1770	C0596170	0
13013	1770	C2267227	0
302	1777	C0005758	0
8874	1777	C0080159	0
4421	1777	C0151883	0
303	1777	C0344311	0
11505	1777	C0221203	0
15799	1777	C0237849	0
15830	1777	C0520893	0
17438	1777	C2132198	0
17666	1777	C0263237	0
304	1778	C0020302	0
34906	1778	C4551507	0
305	1782	C0085469	0
306	1784	C0006413	0
34829	1784	C0278764	0
34847	1784	C0278879	0
307	1791	C0006434	0
308	1813	C0221279	0
309	1813	C0547057	0
13008	1813	C2239262	0
310	1814	C0006462	0
9914	1814	C0700444	0
311	1816	C0006463	0
312	1819	C0006542	0
313	1821	C0019243	0
13255	1821	C0398775	0
13256	1821	C0398776	0
314	1832	C0268292	0
315	1841	C0268285	0
316	1847	C0398756	0
17439	1847	C3150275	0
317	1854	C0268287	0
318	1869	C0398760	0
9898	1872	C0272243	0
14480	1872	C2030720	0
15413	1872	C3463916	0
320	1873	C0398757	0
321	1876	C0006632	0
323	1886	C0007876	0
14386	1886	C1384674	0
324	1889	C0006644	0
13307	1889	C0054436	0
325	1896	C0006664	0
